title	author	rating	genres	genre	pages	num_awards	awards	numRatings	ratingsByStars	likedPercent	bbeScore	bbeVotes																																																										
The Fault in Our Stars	John Green (Goodreads Author)	4.21	"['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Teen', 'Coming Of Age', 'Drama', 'Novels', 'Love']"	YoungAdult	313	27	"['Georgia Peach Book Award (2013)', 'Buxtehuder Bulle (2012)', 'Odyssey Award (2013)', 'Audie Award for Teens (2013)', ""West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2013)"", ""Pennsylvania Young Readers' Choice Award for Young Adults (2013)"", 'Rhode Island Teen Book Award (2014)', 'Evergreen Teen Book Award (2015)', 'Soaring Eagle Book Award (2014)', 'Milwaukee County Teen Book Award (2013)', 'Indies Choice"						"nky (2012)', 'Cali"	fornia	Young	Readers Me	dal for	Youn	g Adu	lt (2015)	"',"	'Li	ncoln	Award	"(2014)',"	'Luisterbo	ek Aw	ard (2	"015)',"	'Goodreads Choice Award	for Young	Adult	Fiction	-2012	and Nominee f	or Best	o	f the Be	st  (20	"18)',"	'Gre	en Mou	ntain	Book Award (2	"014)',"	'The	Inky	Awards	Shortlis	t f	or Silve	"r Inky (2012)',"	"""""Louisiana T"	een	Readers' Choice	"(2015)"""","	'	Missouri Gateway Readers A	"ward (2015)', 'Oklahoma Sequoy"	ah	Awa	rd	f	or	Hig	h Scho	ol	(2	"015)',"	"'Alabama Author Award for Young Adult (2013)', 'Premio El Templo de las Mil Puertas for Mejor novela extranjera independiente (2012)', 'FAB Award Nominee (2014)', 'Premi Protagonista Jove for Categoria 15-16 anys (2013)']"",3550714,""['1784471', '1022406', '512574', '150365', '80898']"",93,1087056,11287"
The Hitchhiker's Guide to the Galaxy	Douglas Adams	4.22	"['Science Fiction', 'Fiction', 'Humor', 'Fantasy', 'Classics', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'Adventure', 'Novels']"	ScienceFiction	193		[]	1436325	"['725771', '420864', '199846', '58326', '31518']"	94	1063601	10996																																																										
The Giving Tree	Shel Silverstein	4.37	"['Childrens', 'Picture Books', 'Classics', 'Fiction', 'Poetry', 'Young Adult', 'Fantasy', 'Juvenile', 'Kids', 'Short Stories']"	Childrens	64		[]	905731	"['556142', '204347', '94819', '27950', '22473']"	94	1021534	10594																																																										
Wuthering Heights	"Emily Brontë, Richard J. Dunn (Editor), David Timson (Narrator), Charlotte Brontë (Commentary), Robert Heindel (Illustrator)"	3.86	"['Classics', 'Fiction', 'Romance', 'Gothic', 'Literature', 'Historical Fiction', '19th Century', 'Novels', 'Classic Literature', 'Historical']"	Classics	464		[]	1342664	"['483222', '413051', '279702', '107437', '59252']"	88	981502	10275																																																										
The Da Vinci Code	Dan Brown (Goodreads Author)	3.86	"['Fiction', 'Mystery', 'Thriller', 'Suspense', 'Mystery Thriller', 'Historical Fiction', 'Adventure', 'Novels', 'Crime', 'Adult']"	Fiction	489	8	"['British Book Award for Book of the Year (2005)', 'Book Sense Book of the Year Award for Adult Fiction (2004)', ""Humo's Gouden Bladwijzer (2004)"", 'Zilveren Vingerafdruk (2004)', ""The Flume: New Hampshire Teen Reader's Choice Award (2006)"", 'Teen Buckeye Book Award (2005)', 'Iowa High School Book Award (2006)', 'Puddly Award for Fiction (2007)', 'Missouri Gateway Readers Award for Adult (2006)']"	1933446	"['645308', '667657', '399278',"																																																													
Memoirs of a Geisha	Arthur Golden	4.12	"['Fiction', 'Historical Fiction', 'Romance', 'Historical', 'Classics', 'Japan', 'Adult', 'Novels', 'Asia', 'Adult Fiction']"	Fiction	503		[]	1717312	"['712950', '615702', '295184', '66518', '26958']"	95	862748	8993																																																										
The Picture of Dorian Gray	"Oscar Wilde, Jeffrey Eugenides (Introduction)"	4.08	"['Classics', 'Fiction', 'Horror', 'Fantasy', 'Literature', 'Gothic', 'Novels', '19th Century', 'LGBT', 'Classic Literature']"	Classics	272		[]	966196	"['382985', '350778', '176188', '41869', '14376']"	94	861799	9096																																																										
Alice's Adventures in Wonderland & Through the Looking-Glass	"Lewis Carroll, John Tenniel (Illustrator), Martin Gardner (Introduction)"	4.06	"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Young Adult', 'Literature', 'Adventure', 'Novels', '19th Century', 'British Literature']"	Classics	239		[]	458299	"['183179', '155059', '91573', '21360', '7128']"	94	833791	8812																																																										
Jane Eyre	"Charlotte Brontë, Michael Mason (Editor), Barnett Freedman (Illustrator)"	4.13	"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Gothic', 'Historical', '19th Century', 'School', 'Classic Literature']"	Classics	532		[]	1624682	"['746070', '501478', '256972', '76970', '43192']"	93	826759	8740																																																										
Les Misérables	"Victor Hugo, Lee Fahnestock (Translator), Norman MacAfee (Translator)"	4.18	"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'France', 'Historical', 'Novels', 'French Literature', 'Romance', 'Classic Literature']"	Classics	1463		[]	682793	"['332692', '202012', '100932', '29673', '17484']"	93	813088	8548																																																										
Fahrenheit 451	Ray Bradbury	3.99	"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'School', 'Literature', 'Novels', 'Fantasy', 'Adult', 'Science Fiction Fantasy']"	Classics	194	3	"['Prometheus Hall of Fame Award (1984)', 'Geffen Award for Best Translated SF Book (2002)', 'California Book Award for Fiction (Silver) (1953)', 'Retro Hugo Award for Best Novel (2004)']"	1680139	"['612098', '604888', '331815', '91160', '40178']"	92	793757	8537																																																										
Divergent	Veronica Roth (Goodreads Author)	4.19	"['Young Adult', 'Dystopia', 'Fiction', 'Fantasy', 'Science Fiction', 'Romance', 'Adventure', 'Teen', 'Post Apocalyptic', 'Action']"	YoungAdult	487	19	"['Georgia Peach Book Award (2012)', 'South Carolina Book Award for Young Adult (2014)', 'Rhode Island Teen Book Award (2013)', 'Evergreen Teen Book Award (2014)', 'Soaring Eagle Book Award (2012)', 'Milwaukee County Teen Book Award Nominee (2012)', ""Children's Choice Book Award Nominee for Teen Choice Book of the Year (2012)"", 'Sakura Medal', 'New Mexico Land of Enchantment Award for Young Adult (2014)', 'Eliot Rosewater Indiana High Sch"						Science Fiction an	d Nomi	nee for	Goodreads	Author	(201	"1)',"	'Green Mo	un	tain	Book	Award	"(2013)',"	'The Magno	lia A	ward f	or 6-8	"(2014)', """"Louisiana Te"	en Readers	' Choi	ce (2014)	""""", 'M"	issouri Gatewa	y Reade	rs	Award (	"2014)',"	'Okl	ahoma	Sequo	yah A	ward for High	Schol	(2014	")', '"	Premio	El Templo	de	las Mil	Puertas Nomine	e for Mejor no	vela	extranjera per	teneciente	a	"saga (2011)']"",2906258,""["	"'1409189', '882493', '434381',"	'	1232	86	"',"	'	5690	"9']"",9"	"4,"	793	"269,83"	39
Lord of the Flies	William Golding	3.69	"['Classics', 'Fiction', 'Young Adult', 'School', 'Literature', 'Dystopia', 'Read For School', 'Novels', 'High School', 'Adventure']"	Classics	182		[]	2263259	"['617568', '763438', '555614', '205804', '120835']"	86	773560	8230																																																										
Romeo and Juliet	"William Shakespeare, Paul Werstine (Editor), Barbara A. Mowat (Editor), Paavo Emil Cajander (Translator)"	3.75	"['Classics', 'Plays', 'Fiction', 'Romance', 'School', 'Drama', 'Read For School', 'Literature', 'High School', 'Poetry']"	Classics	301		[]	2055102	"['616589', '635380', '545898', '184612', '72623']"	87	771784	8282																																																										
The Alchemist	"Paulo Coelho (Goodreads Author), Alan R. Clarke (Translator), James Noel Smith (Illustrator)"	3.88	"['Fiction', 'Classics', 'Fantasy', 'Philosophy', 'Novels', 'Spirituality', 'Literature', 'Self Help', 'Inspirational', 'Adventure']"	Fiction	182	3	"['NBDB National Book Award Nominee for Translation (2015)', 'Grand Prix des lectrices de Elle for roman (1995)', 'Premio Grinzane Cavour for Narrativa Straniera (1996)', 'Corine Internationaler Buchpreis for Belletristik (2002)']"	2107732	"['805221', '613564', '414410', '172160', '102377']"	87	765587	8008																																																										
Crime and Punishment	"Fyodor Dostoyevsky, David McDuff (Translator)"	4.22	"['Classics', 'Fiction', 'Russia', 'Literature', 'Russian Literature', 'Novels', 'Philosophy', 'Crime', '19th Century', 'School']"	Classics	671		[]	626897	"['315090', '188181', '84074', '26493', '13059']"	94	759066	7937																																																										
The Perks of Being a Wallflower	Stephen Chbosky	4.2	"['Young Adult', 'Fiction', 'Contemporary', 'Coming Of Age', 'Romance', 'Realistic Fiction', 'LGBT', 'Classics', 'Mental Health', 'Teen']"	YoungAdult	213		[]	1250155	"['599617', '392068', '188162', '50631', '19677']"	94	758416	7979																																																										
The Great Gatsby	"F. Scott Fitzgerald, Francis Scott Fitzgerald"	3.92	"['Classics', 'Fiction', 'School', 'Literature', 'Historical Fiction', 'Romance', 'Novels', 'Read For School', 'High School', 'American']"	Classics	200	0	['Grammy Award Nominee for Best Spoken Word Album (2003)']	3775504	"['1345866', '1266424', '798955', '252115', '112144']"	90	755074	8142																																																										
City of Bones	Cassandra Clare (Goodreads Author)	4.1	"['Fantasy', 'Young Adult', 'Paranormal', 'Romance', 'Urban Fantasy', 'Fiction', 'Vampires', 'Supernatural', 'Angels', 'Magic']"	Fantasy	485	4	"['Locus Award Nominee for Best First Novel (2008)', 'Georgia Peach Book Award Nominee for Honor book (2009)', 'South Carolina Book Award Nominee for Young Adult Book Award (2010)', ""Pacific Northwest Library Association Young Reader's Choice Award (2010)"", 'Lincoln Award (2010)']"	1617465	"['745774', '465337', '271968', '87611', '46775']"	92	721821	7601																																																										
Ender's Game	"Orson Scott Card, Stefan Rudnicki (Narrator), Harlan Ellison (Narrator)"	4.3	"['Science Fiction', 'Fiction', 'Young Adult', 'Fantasy', 'Classics', 'Science Fiction Fantasy', 'Dystopia', 'War', 'Audiobook', 'Adventure']"	ScienceFiction	324	3	"['Hugo Award for Best Novel (1986)', 'Nebula Award for Best Novel (1985)', 'Nébula (1985)', 'Margaret A. Edwards Award (2008)']"	1131303	"['603209', '339819', '132305', '35667', '20303']"	95	720651	7515																																																										
The Help	Kathryn Stockett (Goodreads Author)	4.47	"['Fiction', 'Historical Fiction', 'Historical', 'Adult', 'Adult Fiction', 'Contemporary', 'Audiobook', 'Classics', 'Chick Lit', 'Book Club']"	Fiction	451	9	"['Orange Prize Nominee for Fiction Longlist (2010)', 'Audie Award for Fiction (2010)', 'Exclusive Books Boeke Prize (2009)', 'SIBA Book Award for Fiction (2010)', 'Indies Choice Book Award for Adult Debut (2010)', 'Puddly Award for Fiction (2011)', 'Lincoln Award Nominee (2013)', 'Grand Prix des lectrices de Elle for roman (2011)', 'Goodreads Choice Award for Fiction (2009) and Nominee for Best of the Best  (2018)', 'Townsend Prize"																																																															
Anne of Green Gables	L.M. Montgomery	4.26	"['Classics', 'Fiction', 'Young Adult', 'Childrens', 'Historical Fiction', 'Middle Grade', 'Historical', 'Audiobook', 'Canada', 'Coming Of Age']"	Classics	320		[]	727685	"['379818', '208919', '100304', '25501', '13143']"	95	695453	7340																																																										
